column     row     bank     Position     DetectorNum     Z     X     Elevation
NA     3     44    Col13_Row4_1     na3_1     58.030942     -1.127634     0.603503
NA     3     44    Col13_Row4_2     na3_2     57.976762     -0.351047     0.604248
NA     3     44    Col13_Row4_3     na3_3     57.976473     -0.350914     0.208285
NA     3     44    Col13_Row4_4     na3_4     58.030167     -1.127703     0.207393

NG     3     65    Col19_Row4_1     ng3_1     61.847044     -3.072131     0.604691
NG     3     65    Col19_Row4_2     ng3_2     61.077622     -3.192336     0.604403
NG     3     65    Col19_Row4_3     ng3_3     61.077145     -3.191336     0.209558
NG     3     65    Col19_Row4_4     ng3_4     61.846188     -3.071521     0.209183

NI     3     71    Col21_Row4_1     ni3_1     63.252481     -2.355761     0.604179
NI     3     71    Col21_Row4_2     ni3_2     62.597118     -2.776885     0.603802
NI     3     71    Col21_Row4_3     ni3_3     62.598373     -2.778528     0.207724
NI     3     71    Col21_Row4_4     ni3_4     63.254085     -2.357409     0.207870
