Detector     Z     X     Elevation
D594M1     -1.970612     1.127241     -0.201301
D594M2     -2.028744     0.349440     -0.200060
D594M3     -2.028537     0.350030     0.196213
D594M4     -1.970936     1.126464     0.195610
DNA3M1     -1.969058     1.127241     0.207393
DNA3M2     -2.023238     0.349440     0.208285
DNA3M3     -2.023527     0.350030     0.604248
DNA3M4     -1.969833     1.126464     0.603503
D573M1     1.847769     3.066690     -0.200391
D573M2     1.078917     3.191656     -0.200705
D573M3     1.078662     3.191427     0.195221
D573M4     1.847667     3.066596     0.195741
DNG3M1     1.846188      3.071521     0.209183
DNG3M2     1.077145      3.191336     0.209558
DNG3M3     1.077622      3.192336     0.604403
DNG3M4     1.847044      3.072131     0.604691
D585M1     3.255025     2.357561     -0.200875
D585M2     2.601253     2.778730     -0.199347
D585M3     2.602148     2.778678     0.196807
D585M4     3.256766     2.357021     0.193451
DNI3M1     3.254085     2.357409     0.207870
DNI3M2     2.598373     2.778528     0.207724
DNI3M3     2.597118     2.776885     0.603802
DNI3M4     3.252481     2.355761     0.604179
